ID,Age,InfraredScanResults,VisualConditions,Pad,Loading,HealthIndex
1,45,0.9,Serious Defects,Serious Defects,53.26,0.8
2,23,0.04,Moderate Defects,Moderate Defects,21.3,4
3,16,0.01,Minor Defects,Moderate Defects,24.9,5
4,46,0.99,Serious Defects,Serious Defects,55.59,0.8
5,33,0.22,Significant Defects,Serious Defects,34.46,2.1
6,23,0.04,Moderate Defects,Moderate Defects,46.54,3.6
7,15,0.01,Moderate Defects,Moderate Defects,35.22,3.3
8,38,0.39,Significant Defects,Serious Defects,27.66,2.8
9,27,0.09,Significant Defects,Significant Defects,44.97,3.6
10,40,0.52,Serious Defects,Serious Defects,46.77,1.7
11,32,0.19,Significant Defects,Serious Defects,40.21,2.5
12,16,0.01,Moderate Defects,Moderate Defects,48.55,3.9
13,44,0.83,Serious Defects,Serious Defects,23.89,1.2
14,25,0.06,Moderate Defects,Significant Defects,36.53,3.3
15,46,0.94,Serious Defects,Serious Defects,48.26,0.7
16,15,0.01,Minor Defects,Moderate Defects,50.2,4.5
17,39,0.45,Serious Defects,Serious Defects,20.29,1.6
18,16,0.01,Minor Defects,Moderate Defects,31.92,4.4
19,28,0.1,Significant Defects,Significant Defects,55.47,3.2
20,46,0.91,Serious Defects,Serious Defects,37.09,0.9
21,23,0.04,Moderate Defects,Significant Defects,52.4,4
22,33,0.21,Significant Defects,Serious Defects,24.87,3
23,36,0.31,Serious Defects,Serious Defects,21.03,2.1
24,15,0.01,Minor Defects,Moderate Defects,45.94,4.5
25,40,0.53,Serious Defects,Serious Defects,40.62,1.4
26,35,0.29,Serious Defects,Serious Defects,30.81,2.1
27,16,0.01,Minor Defects,Moderate Defects,33.32,5
28,16,0.01,Minor Defects,Moderate Defects,55.03,4.7
29,42,0.66,Serious Defects,Serious Defects,48.85,1.4
30,46,0.97,Serious Defects,Serious Defects,22.43,1
31,22,0.04,Moderate Defects,Moderate Defects,52.07,3.3
32,46,0.96,Serious Defects,Serious Defects,24.97,0.5
33,46,0.96,Serious Defects,Serious Defects,40.36,0.2
34,15,0.01,Minor Defects,Moderate Defects,21.13,4.4
35,32,0.2,Significant Defects,Serious Defects,42.72,2.2
36,26,0.07,Moderate Defects,Significant Defects,54.2,3.9
37,15,0.01,Minor Defects,Moderate Defects,39.84,4.9
38,33,0.22,Significant Defects,Serious Defects,20.98,2.5
39,46,0.97,Serious Defects,Serious Defects,36.57,1
40,30,0.14,Significant Defects,Serious Defects,45.63,2.6
41,44,0.8,Serious Defects,Serious Defects,26.16,1.5
42,33,0.22,Significant Defects,Serious Defects,45.48,2.9
43,15,0.01,Minor Defects,Moderate Defects,43.04,4.2
44,26,0.08,Moderate Defects,Significant Defects,53.83,3.6
45,22,0.04,Moderate Defects,Moderate Defects,22.94,3.7
46,15,0.01,Minor Defects,Moderate Defects,53.39,5
47,44,0.82,Serious Defects,Serious Defects,51.24,1.2
48,43,0.75,Serious Defects,Serious Defects,48.11,1.7
49,38,0.42,Significant Defects,Serious Defects,31.26,2.8
50,17,0.01,Moderate Defects,Moderate Defects,30.66,3.9
51,15,0.01,Minor Defects,Moderate Defects,36.91,4.9
52,44,0.81,Serious Defects,Serious Defects,43.76,1.2
53,16,0.01,Moderate Defects,Moderate Defects,29.8,3.7
54,39,0.44,Serious Defects,Serious Defects,49.72,1.6
55,30,0.14,Significant Defects,Significant Defects,21.48,2.6
56,16,0.01,Minor Defects,Moderate Defects,30.89,5
57,32,0.2,Significant Defects,Serious Defects,28.6,2.1
58,45,0.9,Serious Defects,Serious Defects,34.28,0.7
59,17,0.01,Moderate Defects,Moderate Defects,20.75,3.6
60,45,0.86,Serious Defects,Serious Defects,32.89,2
61,32,0.18,Significant Defects,Serious Defects,23.39,2.7
62,15,0.01,Minor Defects,Moderate Defects,21.37,4.8
63,43,0.75,Serious Defects,Serious Defects,25.76,1.3
64,16,0.01,Minor Defects,Moderate Defects,31.77,4.9
65,26,0.07,Moderate Defects,Significant Defects,27.9,3.1
66,33,0.21,Significant Defects,Serious Defects,38.6,2.8
67,18,0.01,Moderate Defects,Moderate Defects,18.36,3.7
68,45,0.89,Serious Defects,Serious Defects,23.51,0.2
69,34,0.25,Significant Defects,Serious Defects,24.56,2.9
70,40,0.52,Serious Defects,Serious Defects,36.51,2
71,35,0.28,Significant Defects,Serious Defects,51.05,2.6
72,41,0.54,Serious Defects,Serious Defects,52.31,1.6
73,42,0.63,Serious Defects,Serious Defects,51.07,1.7
74,45,0.88,Serious Defects,Serious Defects,47.65,0.7
75,16,0.01,Minor Defects,Moderate Defects,44.11,4.6
76,43,0.72,Serious Defects,Serious Defects,26.74,1.6
77,15,0.01,Minor Defects,Moderate Defects,38.89,4.8
78,37,0.36,Significant Defects,Serious Defects,52.52,2.3
79,32,0.18,Significant Defects,Serious Defects,52.04,2.3
80,15,0.01,Minor Defects,Moderate Defects,41.8,4.8
81,42,0.66,Serious Defects,Serious Defects,34.46,1.7
82,21,0.03,Moderate Defects,Moderate Defects,29,3.1
83,16,0.01,Minor Defects,Moderate Defects,29.25,5
84,38,0.39,Serious Defects,Serious Defects,18.56,2
85,23,0.04,Moderate Defects,Significant Defects,31.38,3.1
86,23,0.04,Moderate Defects,Significant Defects,54.88,3.5
87,23,0.04,Moderate Defects,Significant Defects,24.84,3.7
88,25,0.06,Moderate Defects,Significant Defects,43.41,3.9
89,32,0.18,Significant Defects,Significant Defects,27.18,2.2
90,20,0.02,Moderate Defects,Moderate Defects,26.71,3.2
91,38,0.43,Serious Defects,Serious Defects,19.48,1.6
92,39,0.47,Serious Defects,Serious Defects,32.87,1.7
93,35,0.29,Significant Defects,Serious Defects,20.88,2.9
94,43,0.7,Serious Defects,Serious Defects,35.41,1.3
95,35,0.29,Significant Defects,Serious Defects,29.41,2.8
96,39,0.45,Serious Defects,Serious Defects,40.59,1.6
97,29,0.12,Significant Defects,Significant Defects,23.87,3.9
98,20,0.02,Moderate Defects,Moderate Defects,32.52,3.2
99,17,0.01,Moderate Defects,Moderate Defects,26.44,3.8
100,15,0.01,Minor Defects,Moderate Defects,54.31,4.7
101,37,0.37,Serious Defects,Serious Defects,25.95,2.2
102,15,0.01,Minor Defects,Moderate Defects,48.49,4.5
103,21,0.03,Moderate Defects,Moderate Defects,34.88,3.1
104,45,0.87,Serious Defects,Serious Defects,33.18,2
105,15,0.01,Minor Defects,Moderate Defects,46.23,4.4
106,45,0.88,Serious Defects,Serious Defects,36.93,0.5
107,45,0.9,Serious Defects,Serious Defects,24.41,1
108,36,0.34,Serious Defects,Serious Defects,27.39,2.7
109,19,0.02,Moderate Defects,Moderate Defects,41.77,3.3
110,37,0.38,Significant Defects,Serious Defects,38.11,2.2
111,15,0.01,Minor Defects,Moderate Defects,36.61,4.9
112,15,0.01,Minor Defects,Moderate Defects,26.52,4.9
113,38,0.39,Significant Defects,Serious Defects,54.03,2.7
114,43,0.69,Serious Defects,Serious Defects,24.36,1.7
115,15,0.01,Minor Defects,Moderate Defects,21.5,5
116,46,0.95,Serious Defects,Serious Defects,32.91,0.4
117,15,0.01,Minor Defects,Moderate Defects,32.11,4.6
118,19,0.02,Moderate Defects,Moderate Defects,54.83,3.2
119,31,0.17,Significant Defects,Significant Defects,25.15,2.5
120,39,0.47,Significant Defects,Serious Defects,28.03,2.2
121,36,0.33,Serious Defects,Serious Defects,45.4,3
122,36,0.33,Significant Defects,Serious Defects,27.58,2.4
123,15,0.01,Minor Defects,Moderate Defects,51.82,4.6
124,34,0.26,Significant Defects,Serious Defects,42.84,2.8
125,16,0.01,Minor Defects,Moderate Defects,40.22,4.2
126,19,0.02,Moderate Defects,Moderate Defects,23.49,3.3
127,38,0.4,Serious Defects,Serious Defects,47.77,1.1
128,16,0.01,Moderate Defects,Moderate Defects,50.79,3.2
129,40,0.52,Serious Defects,Serious Defects,29.16,1.3
